trans_period,DevelopmentRegion,RegionalDistrict,,tot_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-08-01,Mainland/Southwest,SUNSHINE COAST,,29,29,1,2,,1,19,3,,3,,,,,,,,19215153.00,662591.50,484000.00,324985.00,7680.00
2016-08-08,Mainland/Southwest,SUNSHINE COAST,,22,22,1,,,,14,4,,3,,,,,,,,8741905.00,397359.30,346750.00,129510.00,4935.00
2016-08-15,Mainland/Southwest,SUNSHINE COAST,,34,34,1,,,,24,9,,,,,,,,,,15515744.00,456345.40,399950.00,224225.32,5549.00
2016-08-22,Mainland/Southwest,SUNSHINE COAST,,57,57,3,,,,42,10,,2,,,,,,,,27119071.00,475773.20,380000.00,376983.00,5235.00
2016-09-01,Mainland/Southwest,SUNSHINE COAST,,16,12,4,,,,7,1,,,3,2,,1,1,,,5639640.00,352477.50,349500.00,76131.81,4320.00
2016-09-08,Mainland/Southwest,SUNSHINE COAST,,18,18,2,,,,14,2,,,,,,,,,,11131050.00,618391.70,508750.00,184108.00,8175.00
2016-09-15,Mainland/Southwest,SUNSHINE COAST,,35,34,3,,,,27,4,,,,,,,1,,,15342693.00,438362.70,415500.00,231340.62,6100.00
2016-09-22,Mainland/Southwest,SUNSHINE COAST,,62,58,5,3,,,33,5,,12,2,1,,1,,2,,44379843.00,715803.90,462500.00,835147.28,7100.00
2016-10-01,Mainland/Southwest,SUNSHINE COAST,,14,14,3,,,,8,2,,1,,,,,,,,6539298.00,467092.70,494750.00,100070.00,7895.00
2016-10-08,Mainland/Southwest,SUNSHINE COAST,,20,20,2,,,,11,5,,2,,,,,,,,9238772.00,461938.60,404750.00,135264.50,5599.00
2016-10-15,Mainland/Southwest,SUNSHINE COAST,,16,15,1,,,,8,5,,1,,,,,1,,,6969900.00,435618.80,403750.00,107498.00,6075.00
2016-10-22,Mainland/Southwest,SUNSHINE COAST,,25,23,,,,,7,3,,13,,,,,,1,1,13857361.00,554294.40,422500.00,237637.22,6450.00
2016-06-01,Nechako & North Coast,BULKLEY-NECHAKO,,22,20,10,,,,9,,,1,2,2,,,,,,2562800.00,116490.90,86514.00,29613.00,865.14
2016-06-08,Nechako & North Coast,BULKLEY-NECHAKO,,22,17,10,,,,7,,,,3,2,,1,2,,,3333020.00,151500.90,134500.00,38505.20,1345.00
2016-06-15,Nechako & North Coast,BULKLEY-NECHAKO,,23,22,10,,1,1,8,1,,1,,,,,1,,,3513980.00,152781.70,88500.00,44124.80,885.00
2016-06-22,Nechako & North Coast,BULKLEY-NECHAKO,,64,60,20,,3,2,31,2,,2,,,,,1,2,1,13656947.00,213389.80,202000.00,175331.86,1902.00
2016-07-01,Nechako & North Coast,BULKLEY-NECHAKO,,12,11,2,1,,,8,,,,,,,,,1,,2143625.00,178635.40,173950.00,24996.00,1764.00
2016-07-08,Nechako & North Coast,BULKLEY-NECHAKO,,20,19,8,,,,10,,,1,,,,,1,,,3125450.00,156272.50,163750.00,36732.50,1637.50
2016-07-15,Nechako & North Coast,BULKLEY-NECHAKO,,42,37,15,,,,21,,,1,1,1,,,,3,1,7598500.00,180916.70,167450.00,95560.50,1674.50
2016-07-22,Nechako & North Coast,BULKLEY-NECHAKO,,44,39,18,3,2,,15,,,1,4,4,,,,1,,7071490.00,160715.70,117500.00,87117.28,1040.00
2016-08-01,Nechako & North Coast,BULKLEY-NECHAKO,,18,16,5,1,,,10,,,,1,1,,,,,1,5451117.00,302839.80,220000.00,80442.35,2400.00
2016-08-08,Nechako & North Coast,BULKLEY-NECHAKO,,22,21,7,,3,,10,1,,,,,,,1,,,4602140.00,209188.20,207120.00,58059.80,1675.00
2016-08-15,Nechako & North Coast,BULKLEY-NECHAKO,,29,29,9,2,,,18,,,,,,,,,,,6048304.00,208562.20,195000.00,75519.49,1950.00
2016-08-22,Nechako & North Coast,BULKLEY-NECHAKO,,43,43,15,5,,,22,,,1,,,,,,,,7595500.00,176639.50,175000.00,92915.00,1750.00
2016-09-01,Nechako & North Coast,BULKLEY-NECHAKO,,21,20,7,,1,,12,,,,,,,,,1,,4756050.00,226478.60,227000.00,59890.50,2540.00
2016-09-08,Nechako & North Coast,BULKLEY-NECHAKO,,21,21,5,,1,2,12,,,1,,,,,,,,3504900.00,166900.00,165000.00,38568.00,1650.00
2016-09-15,Nechako & North Coast,BULKLEY-NECHAKO,,21,19,8,,,,9,,,2,1,1,,,,1,,3062400.00,145828.60,144000.00,35734.00,1440.00
2016-09-22,Nechako & North Coast,BULKLEY-NECHAKO,,51,44,10,3,1,,21,,,9,1,,,1,1,2,3,8409802.00,164898.10,140000.00,106423.54,1400.00
2016-10-01,Nechako & North Coast,BULKLEY-NECHAKO,,15,15,4,,,,11,,,,,,,,,,,2390415.00,159361.00,145000.00,28984.15,1450.00
2016-10-08,Nechako & North Coast,BULKLEY-NECHAKO,,15,14,4,,,,9,,,1,1,1,,,,,,3419250.00,227950.00,245900.00,43994.00,2918.00
2016-10-15,Nechako & North Coast,BULKLEY-NECHAKO,,10,8,1,,,,6,,,1,,,,,2,,,1770231.00,177023.10,163350.00,21386.12,1683.50
2016-10-22,Nechako & North Coast,BULKLEY-NECHAKO,,31,27,4,,2,,13,,,8,3,,,3,,1,,8340915.00,269061.80,205000.00,120822.15,2100.00
2016-06-01,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,39,32,1,1,,1,27,2,,,7,7,,,,,,7341467.00,188242.70,105000.00,91212.17,950.00
2016-06-08,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,18,17,5,,,,12,,,,1,1,,,,,,3173740.00,176318.90,169000.00,40917.30,1690.00
2016-06-15,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,21,20,1,,,,17,1,,1,1,1,,,,,,6726250.00,320297.60,315000.00,98132.50,4300.00
2016-06-22,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,63,62,12,,1,,47,1,1,,,,,,1,,,15019625.00,238406.70,250000.00,197459.60,3000.00
2016-07-01,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,13,13,,,,,11,1,,1,,,,,,,,3191733.00,245517.90,220000.00,41714.65,2400.00
2016-07-08,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,25,25,3,,,,21,1,,,,,,,,,,5566796.00,222671.80,225000.00,76045.46,2500.00
2016-07-15,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,17,17,,1,,,14,2,,,,,,,,,,3570400.00,210023.50,198000.00,47194.00,1980.00
2016-07-22,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,52,49,1,1,,,46,1,,,1,1,,,2,,,12177399.00,234180.80,227450.00,158577.98,2549.00
2016-08-01,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,11,9,,,,,9,,,,2,2,,,,,,3422600.00,311145.50,265000.00,50155.00,3300.00
2016-08-08,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,21,18,1,,,,16,1,,,3,3,,,,,,7216500.00,343642.90,205000.00,114580.00,2100.00
2016-08-15,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,17,16,3,,,,13,,,,,,,,,,1,4230600.00,248858.80,269900.00,56010.00,3398.00
2016-08-22,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,35,32,2,,,,29,,,1,2,2,,,,,1,8635400.00,246725.70,220000.00,115985.00,2400.00
2016-09-01,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,20,13,,,,,12,1,,,,,,,,,7,3589738.00,179486.90,184500.00,44647.37,1845.00
2016-09-08,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,15,11,2,,,,8,1,,,2,2,,,,,2,3507539.00,233835.90,230000.00,47024.39,2600.00
2016-09-15,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,20,18,4,,,,13,1,,,1,1,,,,,1,3591000.00,179550.00,139000.00,47620.00,1390.00
2016-09-22,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,29,29,1,1,,,23,2,,2,,,,,,,,6618549.00,228225.80,210000.00,84310.49,2200.00
2016-10-01,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,8,8,,,,,6,1,,1,,,,,,,,1482000.00,185250.00,153750.00,19445.00,1707.50
2016-10-08,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,19,17,1,,,,12,3,1,,2,2,,,,,,3329850.00,175255.30,150000.00,35941.67,1250.00
2016-10-15,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,15,14,1,1,,,11,,,1,1,1,,,,,,2748190.00,183212.70,200000.00,33496.90,2000.00
2016-10-22,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,,20,20,2,,,,10,,,8,,,,,,,,4970300.00,248515.00,246250.00,66878.00,2925.00
2016-06-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,,23,20,2,,1,,10,3,1,3,,,,,,3,,5319225.00,231270.60,194000.00,67958.85,1850.00
2016-06-08,Northeast,NORTHERN ROCKIES-PEACE RIVER,,38,23,4,,,,13,2,,4,7,3,,4,,8,,12722886.00,334812.80,254500.00,186657.25,2960.25
2016-06-15,Northeast,NORTHERN ROCKIES-PEACE RIVER,,35,29,4,1,2,,16,,,6,1,1,,,1,1,3,9573128.00,273517.90,250000.00,135059.16,3000.00
2016-06-22,Northeast,NORTHERN ROCKIES-PEACE RIVER,,46,42,2,,,,33,3,1,3,,,,,,3,1,14188725.00,308450.50,296356.60,163820.90,3040.00
2016-07-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,,16,13,2,,,,11,,,,,,,,1,2,,4839463.00,302466.50,293000.00,70888.07,3860.00
2016-07-08,Northeast,NORTHERN ROCKIES-PEACE RIVER,,26,18,2,1,,,15,,,,1,1,,,,6,1,4704483.00,180941.70,120000.00,61954.83,1200.00
2016-07-15,Northeast,NORTHERN ROCKIES-PEACE RIVER,,25,24,4,,3,,17,,,,1,1,,,,,,8093700.00,323748.00,325000.00,112594.00,3486.00
2016-07-22,Northeast,NORTHERN ROCKIES-PEACE RIVER,,46,36,9,,1,,23,2,,1,2,1,,1,,8,,11250746.00,244581.40,227500.00,139143.00,2181.00
2016-08-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,,24,14,2,,1,,10,,,1,8,5,,3,,2,,29781556.00,1240898.20,358750.00,684002.43,4850.00
2016-08-08,Northeast,NORTHERN ROCKIES-PEACE RIVER,,23,19,2,,1,,14,2,,,4,3,,1,,,,10890142.00,473484.40,335000.00,166831.50,3560.00
2016-08-15,Northeast,NORTHERN ROCKIES-PEACE RIVER,,25,22,6,,,,15,1,,,2,2,,,,1,,6814454.00,272578.20,225000.00,92296.30,2180.00
2016-08-22,Northeast,NORTHERN ROCKIES-PEACE RIVER,,44,38,2,,,,32,1,,3,,,,,1,4,1,12137588.00,275854.30,252000.00,136936.29,2475.00
2016-09-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,,21,19,2,,1,,14,1,1,,1,1,,,,1,,9220038.00,439049.40,325000.00,162144.07,4500.00
2016-09-08,Northeast,NORTHERN ROCKIES-PEACE RIVER,,22,18,1,,3,,13,,,1,1,,,1,,3,,4660348.00,211834.00,169950.00,63042.63,1699.50
2016-09-15,Northeast,NORTHERN ROCKIES-PEACE RIVER,,25,24,3,,1,,19,,,1,1,1,,,,,,9368382.00,374735.30,305000.00,110738.75,3000.00
2016-09-22,Northeast,NORTHERN ROCKIES-PEACE RIVER,,59,46,8,1,,,22,4,,11,2,2,,,1,10,,13447175.00,227918.20,199300.00,172666.67,1750.00
2016-10-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,,26,21,2,,1,,15,,1,2,1,1,,,,3,1,5739855.00,220763.70,240000.00,74982.50,2800.00
2016-10-08,Northeast,NORTHERN ROCKIES-PEACE RIVER,,20,16,2,,,,12,1,1,,4,4,,,,,,6298486.00,314924.30,263250.00,74650.00,2150.00
2016-10-15,Northeast,NORTHERN ROCKIES-PEACE RIVER,,25,19,5,,,,11,,,3,,,,,1,5,,5405351.00,216214.00,255000.00,69487.05,2000.00
2016-10-22,Northeast,NORTHERN ROCKIES-PEACE RIVER,,49,40,5,,1,,26,,,8,5,2,,3,,3,1,49873210.00,1017820.60,260000.00,1239099.18,3100.00
2016-06-01,Thompson/Okanagan,CENTRAL OKANAGAN,,185,178,5,1,,,115,52,,5,4,3,,1,2,,1,102432386.00,553688.60,434000.00,1720191.53,6530.00
2016-06-08,Thompson/Okanagan,CENTRAL OKANAGAN,,125,122,2,,,2,77,33,,8,3,1,,2,,,,58998514.00,471988.10,390000.00,874695.49,5350.00
2016-06-15,Thompson/Okanagan,CENTRAL OKANAGAN,,209,202,8,,2,,131,54,,7,3,3,,,,4,,115876747.00,554434.20,469000.00,1862791.79,6870.00
2016-06-22,Thompson/Okanagan,CENTRAL OKANAGAN,,558,545,15,4,5,3,341,152,,25,5,4,,1,4,3,1,301820977.00,540897.80,455000.00,4912535.77,6818.50
2016-07-01,Thompson/Okanagan,CENTRAL OKANAGAN,,146,144,7,1,,,95,35,,6,2,1,1,,,,,78591299.00,538296.60,490000.00,1245933.83,7250.00
2016-07-08,Thompson/Okanagan,CENTRAL OKANAGAN,,195,194,5,,1,,118,59,,11,1,1,,,,,,94646186.00,485365.10,410000.00,1421023.32,5621.00
2016-07-15,Thompson/Okanagan,CENTRAL OKANAGAN,,200,197,8,,2,2,127,43,2,13,1,,,1,1,1,,117168869.00,585844.30,454250.00,2007212.20,6600.00
2016-07-22,Thompson/Okanagan,CENTRAL OKANAGAN,,442,440,7,2,,2,242,125,1,61,1,,1,,1,,,214915707.00,486234.60,420000.00,3370502.58,6067.09
2016-08-01,Thompson/Okanagan,CENTRAL OKANAGAN,,196,192,4,,,,105,60,2,21,4,3,1,,,,,103266605.00,526870.40,432500.00,1687366.94,6140.00
2016-08-08,Thompson/Okanagan,CENTRAL OKANAGAN,,129,127,3,1,,,65,48,,10,2,1,,1,,,,65742796.00,509634.10,435000.00,1051572.27,6640.00
2016-08-15,Thompson/Okanagan,CENTRAL OKANAGAN,,257,257,4,4,,,155,67,1,26,,,,,,,,130996592.00,509714.40,452754.90,2060531.64,6700.00
2016-08-22,Thompson/Okanagan,CENTRAL OKANAGAN,,466,455,6,2,1,,271,140,1,34,7,2,3,2,1,1,2,237384787.00,509409.40,433950.00,3750644.19,6526.50
2016-09-01,Thompson/Okanagan,CENTRAL OKANAGAN,,180,175,8,,2,,88,64,,13,4,3,1,,1,,,91405070.00,507805.90,406600.00,1452167.35,6018.50
2016-09-08,Thompson/Okanagan,CENTRAL OKANAGAN,,144,138,3,1,1,1,69,50,,13,6,1,5,,,,,69481723.00,482512.00,417450.00,1061704.56,5481.50
2016-09-15,Thompson/Okanagan,CENTRAL OKANAGAN,,176,172,3,,2,,92,49,1,25,1,1,,,2,1,,102076969.00,579982.80,439450.00,1725511.68,6399.00
2016-09-22,Thompson/Okanagan,CENTRAL OKANAGAN,,431,419,6,4,,3,186,109,4,107,9,3,2,4,2,1,,244893845.00,568199.20,433500.00,4166438.55,6520.00
2016-10-01,Thompson/Okanagan,CENTRAL OKANAGAN,,139,134,7,,2,,72,29,1,23,4,3,,1,1,,,75315147.00,541835.60,419000.00,1213096.96,6200.00
2016-10-08,Thompson/Okanagan,CENTRAL OKANAGAN,,143,136,6,,1,,70,40,,19,3,1,,2,2,2,,73463104.00,513728.00,465900.00,1150570.71,7140.00
2016-10-15,Thompson/Okanagan,CENTRAL OKANAGAN,,125,124,3,,2,,70,35,1,13,1,1,,,,,,67822943.00,542583.50,440000.00,1138469.99,6790.00
2016-10-22,Thompson/Okanagan,CENTRAL OKANAGAN,,309,303,6,,3,1,91,61,1,140,4,,1,3,,2,,176055423.00,569758.60,450000.00,2972598.13,6740.00
2016-06-01,Thompson/Okanagan,COLUMBIA SHUSWAP,,56,51,5,1,,,39,6,,,3,3,,,1,1,,15533681.00,277387.20,245000.00,221430.81,2900.00
2016-06-08,Thompson/Okanagan,COLUMBIA SHUSWAP,,47,41,7,1,1,,24,7,,1,4,3,1,,2,,,19820705.00,421717.10,300000.00,333584.05,3700.00
2016-06-15,Thompson/Okanagan,COLUMBIA SHUSWAP,,65,61,9,,1,1,38,7,,5,,,,,3,1,,19416722.00,298718.80,290000.00,270320.99,3740.00
2016-06-22,Thompson/Okanagan,COLUMBIA SHUSWAP,,115,108,16,1,3,2,75,10,,1,5,3,1,1,1,1,,34443162.00,299505.80,262500.00,477168.38,3200.00
2016-07-01,Thompson/Okanagan,COLUMBIA SHUSWAP,,24,24,3,,,,20,1,,,,,,,,,,7557500.00,314895.80,300000.00,112175.00,4000.00
2016-07-08,Thompson/Okanagan,COLUMBIA SHUSWAP,,56,54,8,,1,,38,3,,4,,,,,1,,1,17103457.00,305418.90,317500.00,241486.14,4150.00
2016-07-15,Thompson/Okanagan,COLUMBIA SHUSWAP,,55,50,6,,1,,36,5,,2,1,1,,,1,,3,14901052.00,270928.20,246450.00,201590.69,2920.00
2016-07-22,Thompson/Okanagan,COLUMBIA SHUSWAP,,96,86,13,,1,,56,13,,3,3,3,,,7,,,36044073.00,375459.10,324250.00,549892.81,4435.00
2016-08-01,Thompson/Okanagan,COLUMBIA SHUSWAP,,25,24,5,,,,17,2,,,1,1,,,,,,8896820.00,355872.80,300000.00,124908.00,3800.00
2016-08-08,Thompson/Okanagan,COLUMBIA SHUSWAP,,36,35,2,1,2,,24,4,,2,1,1,,,,,,11104038.00,308445.50,291250.00,152419.36,3749.00
2016-08-15,Thompson/Okanagan,COLUMBIA SHUSWAP,,72,56,4,1,4,,36,7,,4,3,2,,1,12,,1,21769468.00,302353.70,258750.00,323604.68,3175.00
2016-08-22,Thompson/Okanagan,COLUMBIA SHUSWAP,,79,76,7,3,1,1,51,11,,2,2,,,2,,1,,26094566.00,330311.00,315000.00,380570.66,4300.00
2016-09-01,Thompson/Okanagan,COLUMBIA SHUSWAP,,36,33,6,,1,,22,3,,1,1,1,,,2,,,12553352.00,348704.20,317500.00,184433.52,4350.00
2016-09-08,Thompson/Okanagan,COLUMBIA SHUSWAP,,42,41,9,,,,25,4,,3,1,1,,,,,,11985890.00,285378.30,323250.00,170391.43,4465.00
2016-09-15,Thompson/Okanagan,COLUMBIA SHUSWAP,,45,43,3,,,,34,4,,2,2,1,1,,,,,16057848.00,356841.10,300000.00,241757.48,4000.00
2016-09-22,Thompson/Okanagan,COLUMBIA SHUSWAP,,85,78,7,1,2,,43,7,,18,2,2,,,2,1,2,30855394.00,363004.60,325000.00,476727.50,4400.00
2016-10-01,Thompson/Okanagan,COLUMBIA SHUSWAP,,32,31,4,,,,19,4,,4,1,1,,,,,,11495070.00,359221.00,284750.00,165139.98,3645.00
2016-10-08,Thompson/Okanagan,COLUMBIA SHUSWAP,,31,30,2,,,2,24,1,,1,,,,,,1,,10482600.00,338148.40,305000.00,159166.00,4100.00
2016-10-15,Thompson/Okanagan,COLUMBIA SHUSWAP,,27,26,4,1,2,1,16,1,,1,,,,,,1,,9244300.00,342381.50,320000.00,128518.72,4200.00
2016-10-22,Thompson/Okanagan,COLUMBIA SHUSWAP,,61,52,5,2,,1,21,5,,18,3,1,,2,3,,3,20718850.00,339653.30,275000.00,312231.50,3500.00
2016-06-01,Thompson/Okanagan,NORTH OKANAGAN,,68,67,6,,5,,41,12,,3,,,,,,1,,23658299.00,347916.20,362084.40,321070.14,5175.00
2016-06-08,Thompson/Okanagan,NORTH OKANAGAN,,45,39,5,1,1,,21,10,,1,3,3,,,,2,1,16156500.00,359033.30,330000.00,242419.00,4600.00
2016-06-15,Thompson/Okanagan,NORTH OKANAGAN,,74,68,5,,1,,52,7,,3,4,3,,1,,2,,37632259.00,508544.00,352100.00,633730.50,4530.00
2016-06-22,Thompson/Okanagan,NORTH OKANAGAN,,252,248,15,2,64,,118,41,,8,1,,1,,1,2,,85336869.00,338638.40,332500.00,1292948.42,4581.25
2016-07-01,Thompson/Okanagan,NORTH OKANAGAN,,50,49,4,,2,,36,6,,1,1,,,1,,,,22454071.00,449081.40,411000.00,344153.00,6100.00
2016-07-08,Thompson/Okanagan,NORTH OKANAGAN,,102,102,7,,2,1,78,11,,3,,,,,,,,44335781.00,434664.50,385950.00,689321.61,5719.00
2016-07-15,Thompson/Okanagan,NORTH OKANAGAN,,76,73,9,,3,,46,14,,1,1,1,,,1,,1,28207041.00,371145.30,344500.00,406124.49,4740.00
2016-07-22,Thompson/Okanagan,NORTH OKANAGAN,,167,159,8,2,4,2,107,28,,8,5,5,,,2,1,,69079864.00,413651.90,355000.00,1007286.09,4640.00
2016-08-01,Thompson/Okanagan,NORTH OKANAGAN,,73,72,6,,1,,47,15,,3,1,,,1,,,,29354818.00,402120.80,359900.00,418276.50,4700.00
2016-08-08,Thompson/Okanagan,NORTH OKANAGAN,,51,51,3,,1,,29,17,,1,,,,,,,,19625126.00,384806.40,330000.00,284762.10,4500.00
2016-08-15,Thompson/Okanagan,NORTH OKANAGAN,,100,99,8,1,1,,63,16,,10,1,1,,,,,,42555129.00,425551.30,357063.00,649161.96,4974.00
2016-08-22,Thompson/Okanagan,NORTH OKANAGAN,,171,166,11,,7,,103,32,,13,4,4,,,,1,,66294573.00,387687.60,360100.00,951280.78,4900.00
2016-09-01,Thompson/Okanagan,NORTH OKANAGAN,,63,62,4,,,1,38,17,1,1,1,1,,,,,,24111325.00,382719.40,344000.00,348552.25,4670.00
2016-09-08,Thompson/Okanagan,NORTH OKANAGAN,,58,55,8,,,1,35,9,,2,,,,,3,,,22713207.00,391607.00,361250.00,318674.56,5075.00
2016-09-15,Thompson/Okanagan,NORTH OKANAGAN,,65,63,6,,5,,39,7,,6,,,,,2,,,26141426.00,402175.80,345000.00,370691.82,4360.00
2016-09-22,Thompson/Okanagan,NORTH OKANAGAN,,196,182,16,1,3,1,99,36,,26,14,11,3,,,,,76689888.00,391274.90,350000.00,1147975.60,4765.00
2016-10-01,Thompson/Okanagan,NORTH OKANAGAN,,58,49,3,1,4,1,24,9,,7,6,5,,1,3,,,30401240.00,524159.30,320000.00,562537.81,4400.00
2016-10-08,Thompson/Okanagan,NORTH OKANAGAN,,66,62,6,,1,1,38,8,,8,1,,1,,1,2,,21707121.00,328895.80,292500.00,290714.92,3280.00
2016-10-15,Thompson/Okanagan,NORTH OKANAGAN,,68,63,4,,4,,42,5,,8,2,1,,1,1,2,,27917329.00,410549.00,339750.00,432471.58,4770.00
2016-10-22,Thompson/Okanagan,NORTH OKANAGAN,,115,107,7,,1,,44,16,,39,5,1,,4,3,,,50913234.00,442723.80,370000.00,770593.78,5300.00
2016-06-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,101,95,11,,2,3,62,16,,1,2,2,,,1,2,1,44405320.00,439656.60,319767.40,708279.42,4000.00
2016-06-08,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,75,67,7,,2,,47,8,,3,4,2,,2,3,,1,23370518.00,311606.90,247000.00,332126.54,2800.00
2016-06-15,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,87,82,6,5,3,,44,18,1,5,2,2,,,,1,2,33438610.00,384351.80,345000.00,479573.60,4800.00
2016-06-22,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,187,181,16,,5,1,113,37,,9,3,3,,,,2,1,77161588.00,412628.80,350000.00,1152851.81,4750.00
2016-07-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,56,55,3,1,,1,31,14,1,4,,,,,,1,,21484895.00,383658.80,314000.00,310873.08,3930.00
2016-07-08,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,78,68,6,,,,36,22,,4,1,1,,,5,3,1,32662111.00,418745.00,311250.00,467501.38,3560.00
2016-07-15,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,75,68,8,1,1,1,38,17,,2,2,2,,,3,1,1,26919902.00,358932.00,300387.60,403258.40,4007.75
2016-07-22,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,149,144,10,,5,,95,30,,4,2,1,,1,1,2,,56809919.00,381274.60,330000.00,858959.71,4600.00
2016-08-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,65,62,10,,,1,33,17,,1,3,2,,1,,,,25981588.00,399716.70,320000.00,391346.26,4000.00
2016-08-08,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,48,41,5,,2,2,25,5,1,1,4,,,4,3,,,13996989.00,291603.90,240750.00,189671.15,2800.00
2016-08-15,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,99,94,5,1,1,1,53,23,1,9,,,,,4,1,,34612716.00,349623.40,315000.00,464954.38,3940.00
2016-08-22,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,164,154,9,4,3,1,98,27,,12,4,4,,,1,5,,74210089.00,452500.50,337750.00,1229538.86,4570.00
2016-09-01,Thompson/Okanagan,OKANAGAN-SIMILKAMEEN,,74,64,7,,1,1,40,12,,3,4,2,,2,2,4,,34116578.00,461034.80,342500.00,565022.14,4770.00
